Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
79,Florida State,ACC,,17,15,74.5,72.5,2,,6.8,,4.85,3.95,8.8,109.38,97.63,11.76
80,Oregon State,WCC,,20,12,76.3,68.8,7.53,,2.16,,3.99,4.79,8.78,117.91,105.02,12.89
81,Georgetown,Big East,,17,15,71.7,68.8,2.84,,5.86,,2.39,6.31,8.7,109.66,97.5,12.16
82,Minnesota,Big Ten,,15,17,68.1,69.7,-1.66,,10.16,,-0.2,8.71,8.51,111.07,99.36,11.71
83,Liberty,CUSA,,28,6,76.6,62.9,13.68,,-1.39,,1.25,6.97,8.22,111.96,99.26,12.71
84,Saint Joseph's,A-10,,22,12,75.4,68.6,6.74,,1.33,,4.11,3.95,8.06,111.05,99.25,11.81
85,UC Irvine,Big West,,28,6,75.9,66.2,9.68,,-1,,2.36,5.69,8.06,106.63,95.52,11.11
86,North Texas,AAC,,24,8,68.1,59.7,8.41,,0.5,,-5.61,13.44,7.83,111.67,98.57,13.1
87,George Mason,A-10,,26,8,70.9,63.3,7.62,,1.22,,-1.76,9.47,7.71,106.98,95.31,11.67
88,Providence,Big East,,12,20,71.3,72.5,-1.16,,8.68,,3.16,4.36,7.52,112.26,101.33,10.93
89,Notre Dame,ACC,,15,18,72.6,72.5,0.15,,7.27,,3.1,4.32,7.42,112.55,102.14,10.41
90,Georgia Tech,ACC,,17,16,73.4,72.4,0.94,,6.36,,3.68,3.62,7.3,108.75,98.7,10.05
91,Nevada-Las Vegas,MWC,,18,15,69.2,68.1,1.12,,5.91,,-0.24,7.27,7.03,109.55,99.4,10.15
92,Oklahoma State,Big 12,,15,17,72.6,76.5,-3.91,,10.76,,5.31,1.55,6.86,108.7,98.67,10.04
93,Yale,Ivy,,22,7,81.7,69.7,11.93,,-3.65,,5.2,1.58,6.78,113.76,103.98,9.78
94,Bradley,MVC,,26,8,76.8,68.8,8.03,,-0.04,,2.72,3.52,6.24,112.66,103.18,9.48
95,Washington,Big Ten,,13,18,71.6,75.5,-3.87,,10.73,,3.64,2.59,6.23,110.9,102.34,8.56
96,Virginia,ACC,,15,17,64.8,66.8,-2,,8.11,,-3.91,10.02,6.11,111.45,102.79,8.66
97,DePaul,Big East,,14,19,72.8,74.2,-1.42,,7.4,,4.27,1.7,5.98,111.21,103.26,7.95
98,NC State,ACC,,12,19,69.6,70.4,-0.81,,6.69,,-0.28,6.17,5.88,109.65,101.92,7.74
99,California,ACC,,14,19,75.6,76.8,-1.21,,7.06,,6.26,-0.41,5.85,111.44,103.26,8.17
100,Grand Canyon,WAC,,26,7,79.2,69.1,10.03,,-3.04,,5.31,0.5,5.81,107.66,100.21,7.45
101,High Point,Big South,,29,5,82.2,68.8,13.44,,-5.8,,5.84,-0.45,5.39,116.86,108.73,8.13
102,Northern Iowa,MVC,,20,12,73.6,67.2,6.41,,0.1,,0.24,5.11,5.35,111.5,103.32,8.19
103,Syracuse,ACC,,14,19,74.7,77.8,-3.09,,8.41,,5.64,-0.32,5.32,111.37,104.28,7.09
104,Arkansas State,Sun Belt,,24,10,79.2,70.1,9.03,,-2.78,,4.69,0.53,5.22,109.58,102.3,7.28
105,Lipscomb,A-Sun,,25,9,79.3,67.3,12,,-4.88,,1.05,4.01,5.06,111.53,103.62,7.91
106,Washington State,WCC,,19,14,78.8,78.4,0.45,,4.43,,7.74,-2.86,4.88,111.96,105.41,6.54
107,UAB,AAC,,22,12,82.5,76.2,6.29,,-0.71,,8.81,-4.4,4.41,115.86,109.2,6.66
108,Saint Louis,A-10,,19,14,74.2,70.3,3.91,,2.46,,2.16,2.14,4.3,110.07,103.66,6.41
109,St. Bonaventure,A-10,,22,11,69,64.9,4.09,,0.61,,-3.82,7.96,4.15,106.89,100.32,6.56
110,Florida Atlantic,AAC,,18,15,78.7,75.2,3.48,,2.05,,6.33,-2.25,4.08,111.45,105.75,5.71
111,Loyola (IL),A-10,,22,11,73.5,68.6,4.88,,0.34,,0.56,3.19,3.75,107.3,101.8,5.5
112,Troy,Sun Belt,,23,10,73.9,65.4,8.45,,-2.85,,-1.67,5.27,3.61,106.7,101.06,5.64
113,Akron,MAC,,28,6,84.6,74.5,10.06,,-4.52,,8.43,-4.89,3.54,111.63,106.94,4.69
114,George Washington,A-10,,21,12,73.6,67.8,5.82,,-1.7,,0.33,2.72,3.05,107.13,102.38,4.75
115,Virginia Tech,ACC,,13,19,69.2,73.2,-4,,6.99,,-0.81,3.8,2.99,107.88,104.22,3.66
116,Middle Tennessee,CUSA,,22,11,75.9,71.4,4.48,,1.21,,2.92,0.04,2.96,107.91,103.57,4.33
117,Wichita State,AAC,,19,14,73.8,72.6,1.24,,1.97,,1.93,0.85,2.78,106.25,102.39,3.86
118,Cal State Northridge,Big West,,22,10,80.6,72.5,8.16,,-3.28,,5.89,-3.24,2.66,107.22,103.93,3.29
119,South Dakota State,Summit,,20,12,79.6,73.5,6.06,,-1.49,,3.84,-1.36,2.48,109.42,106.28,3.14
120,UNC Wilmington,CAA,,27,7,79.4,69.9,9.47,,-4.5,,1.18,1.13,2.31,110.95,107.24,3.71
121,Utah Valley,WAC,,25,8,76.2,68,8.21,,-3.38,,0.29,2,2.3,105.39,102.33,3.06
122,Belmont,MVC,,22,11,79.3,76.6,2.7,,-0.02,,7.01,-4.97,2.04,111.83,108.69,3.13
123,Tulane,AAC,,19,14,74.9,69.8,5.12,,-0.95,,0.28,1.74,2.02,108.16,105.31,2.84
124,Illinois State,MVC,,19,14,75.5,71.9,3.58,,-0.12,,1.25,0.6,1.85,112.65,109.36,3.29
125,Duquesne,A-10,,13,19,69.1,67.3,1.78,,1.51,,-2.71,4.51,1.8,105.83,102.91,2.92
126,Louisiana Tech,CUSA,,20,12,73.9,68.4,5.5,,-0.4,,-1.56,3.34,1.77,107.68,105.37,2.31
127,North Alabama,A-Sun,,24,10,79.1,70.6,8.56,,-5.37,,2.23,-0.61,1.63,111.29,108.16,3.14
128,Northern Colorado,Big Sky,,25,9,80.9,72.4,8.44,,-3.82,,5.13,-3.53,1.6,111.07,108.85,2.22
129,Rhode Island,A-10,,18,13,78,75.1,2.94,,-0.37,,4.62,-3.03,1.6,108.29,106.24,2.05
130,Samford,Southern,,22,10,83.3,75.2,8.16,,-3.87,,7.19,-5.62,1.57,110.61,108.24,2.37
131,Davidson,A-10,,17,16,72.5,70.7,1.79,,0.97,,0.12,1.41,1.53,110.61,108.02,2.59
132,South Alabama,Sun Belt,,21,11,72.9,64.6,8.38,,-4.14,,-3.58,5.08,1.49,107.18,103.97,3.21
133,Loyola Marymount,WCC,,17,15,71.2,71.6,-0.34,,3.21,,-1.83,3.3,1.47,105.02,102.9,2.12
134,North Dakota State,Summit,,21,11,81.1,74.6,6.53,,-3.26,,3.93,-2.51,1.43,114.9,112.82,2.08
135,Jacksonville State,CUSA,,22,12,73.9,68.6,5.21,,0.04,,-1.61,3.01,1.39,108.1,105.85,2.25
136,St. Thomas,Summit,,24,10,83.1,74.8,8.32,,-4.19,,4.82,-3.49,1.33,112.29,110.31,1.98
137,New Mexico State,CUSA,,17,15,69.7,65.9,3.72,,0.72,,-4.79,5.96,1.17,104.55,102.05,2.5
138,Cornell,Ivy,,18,11,85.1,77.5,7.55,,-3.54,,8.17,-7.04,1.13,113.36,111.7,1.66
139,Chattanooga,Southern,,24,9,78.8,72,6.88,,-4.18,,3.89,-2.91,0.98,113.3,111.57,1.73
140,Kent State,MAC,,22,11,73.7,68.4,5.36,,-3.25,,-3.52,4.4,0.88,104.02,102.33,1.7
141,Murray State,MVC,,16,17,71.8,69.2,2.7,,0.43,,-1.96,2.79,0.84,106.27,104.36,1.9
142,San Jose State,MWC,,15,19,72.2,73.4,-1.18,,4.38,,0.26,0.56,0.82,107.01,106.42,0.59
143,Kennesaw State,CUSA,,19,14,76.5,73.2,3.3,,1.1,,2.44,-1.67,0.77,105.73,103.97,1.76
144,UC Santa Barbara,Big West,,21,13,74.3,68.8,5.5,,-3.01,,-1.21,1.98,0.77,107.92,106.93,0.99
145,Miami (FL),ACC,,7,24,74,80.6,-6.65,,7.3,,5.92,-5.27,0.65,114.74,113.95,0.79
146,Milwaukee,Horizon,,21,11,78.4,71.7,6.72,,-3.78,,1.35,-1,0.36,106.85,106.26,0.59
147,Seattle,WAC,,14,18,70.4,66.4,4.03,,-1,,-4.14,4.27,0.14,103.16,102.57,0.59
148,Boston College,ACC,,12,19,70.4,75.8,-5.39,,5.49,,0.74,-0.64,0.1,106.21,105.88,0.33
149,Temple,AAC,,17,15,78.8,77.7,1.03,,-0.05,,5.09,-5.01,0.08,108.95,108.81,0.14
150,Furman,Southern,,25,9,77.6,69.6,7.94,,-3.53,,-0.06,0.11,0.05,108.14,108.13,0.01
151,Seton Hall,Big East,,7,25,61.6,70.2,-8.63,,8.67,,-6.52,6.57,0.05,101.05,101.25,-0.21
152,Robert Morris,Horizon,,26,8,76.9,70.4,6.41,,-5.81,,0.5,-0.55,-0.05,105.08,105.03,0.05
153,Western Kentucky,CUSA,,17,15,74.8,74.8,0.09,,1.29,,1.71,-1.92,-0.21,103.3,103.08,0.22
154,UC Riverside,Big West,,21,12,75.2,74.2,0.94,,0.38,,2.09,-2.35,-0.26,107.47,107.77,-0.3
155,Wofford,Southern,,19,15,75.3,69.8,5.5,,-3.03,,-0.95,0.67,-0.28,110.63,110.69,-0.05
156,Wyoming,MWC,,12,20,67.2,71.2,-4,,4.58,,-4.78,4.49,-0.29,103.96,104.77,-0.81
157,UTEP,CUSA,,18,15,72.5,70.8,1.73,,0.67,,-0.33,0.03,-0.3,105.03,105.07,-0.05
158,College of Charleston,CAA,,24,9,77.2,73.8,3.39,,-3.11,,3.01,-3.34,-0.32,105.18,105.78,-0.6
159,East Carolina,AAC,,19,14,75.8,73.8,2.06,,-0.55,,0.24,-0.66,-0.42,107.17,107.37,-0.2
160,Illinois-Chicago,MVC,,17,14,76,73.7,2.29,,0.62,,2.77,-3.36,-0.59,106.18,107.03,-0.85
161,California Baptist,WAC,,17,15,71.3,70,1.22,,-1.94,,-2.08,1.36,-0.72,105.28,106.23,-0.96
162,Miami (OH),MAC,,25,9,80.6,72.7,7.85,,-5.28,,2.01,-2.85,-0.84,107.27,108.32,-1.06
163,UNC Greensboro,Southern,,20,12,72.9,65.4,7.5,,-4.02,,-5.07,4.19,-0.88,104.61,105.4,-0.79
164,East Tennessee State,Southern,,19,13,71.9,66.5,5.41,,-5.06,,-3.94,3.02,-0.93,105.54,106.21,-0.66
165,Purdue Fort Wayne,Horizon,,19,13,80.7,74.6,6.09,,-4.08,,4.48,-5.49,-1.02,108.65,110.43,-1.78
166,Texas A&M-Corpus Christi,Southland,,20,14,75.8,67.4,8.38,,-3.45,,-0.74,-0.31,-1.05,106.04,107.14,-1.1
167,Omaha,Summit,,22,12,78.1,75,3.03,,-2.86,,2.04,-3.12,-1.08,108.88,110.32,-1.44
168,Montana,Big Sky,,25,9,76.9,72.9,3.94,,-1.92,,1.67,-2.82,-1.14,109.2,110.78,-1.59
169,Winthrop,Big South,,23,11,84.7,78,6.71,,-3.93,,6.58,-8.03,-1.45,105.89,108.07,-2.18
170,James Madison,Sun Belt,,20,12,73.9,70.5,3.41,,-2.58,,-0.81,-0.8,-1.62,108.64,110.67,-2.03
171,Bryant,AEC,,23,11,82.4,73.9,8.5,,-7.55,,4.05,-5.73,-1.68,103.71,106.35,-2.64
172,Towson,CAA,,22,11,70,66.7,3.27,,-3.34,,-4.99,3.3,-1.69,104.65,106.87,-2.23
173,Rice,AAC,,13,19,70.3,70.3,0,,-1.88,,-2.93,1.09,-1.84,104.45,106.81,-2.36
174,South Florida,AAC,,13,19,74.4,74.5,-0.13,,0.12,,-1.01,-0.84,-1.85,103.11,105.44,-2.34
175,Cleveland State,Horizon,,21,12,72.8,66,6.82,,-4.04,,-5.13,3.26,-1.88,101.6,104.02,-2.43
176,Cal Poly,Big West,,16,19,82.1,82.9,-0.8,,-0.15,,9.94,-11.88,-1.95,108.45,111.4,-2.95
177,Florida Gulf Coast,A-Sun,,18,14,72.5,69.8,2.75,,-4.32,,-2.92,0.89,-2.03,106.44,108.8,-2.36
178,Marshall,Sun Belt,,20,13,75.7,71.7,4.03,,-4.43,,-0.24,-1.93,-2.17,103.44,106.07,-2.63
179,Southern Illinois,MVC,,14,19,72.9,74.5,-1.61,,1.12,,-0.28,-1.9,-2.17,105.17,107.66,-2.49
180,Lamar,Southland,,20,13,69.9,65.8,4.12,,-2.67,,-6.04,3.84,-2.2,100.15,102.75,-2.61
181,Nicholls State,Southland,,20,13,74,69.6,4.45,,-2.54,,-0.34,-1.87,-2.21,103.69,106.57,-2.87
182,UTSA,AAC,,12,19,76.7,76.8,-0.13,,0.74,,2.78,-5.11,-2.33,107.1,110.09,-2.99
183,Montana State,Big Sky,,15,18,71.3,69.6,1.7,,-2.33,,-3.3,0.91,-2.39,104.4,107.81,-3.41
